no,cat,from,to,rate
A1,A,0,"5,400,000",0.00000
A2,A,"5,400,000","5,650,000",0.00250
A3,A,"5,650,000","5,950,000",0.00500
A4,A,"5,950,000","6,300,000",0.00750
A5,A,"6,300,000","6,750,000",0.01000
A6,A,"6,750,000","7,500,000",0.01250
A7,A,"7,500,000","8,550,000",0.01500
A8,A,"8,550,000","9,650,000",0.01750
A9,A,"9,650,000","10,050,000",0.02000
A10,A,"10,050,000","10,350,000",0.02250
A11,A,"10,350,000","10,700,000",0.02500
A12,A,"10,700,000","11,050,000",0.03000
A13,A,"11,050,000","11,600,000",0.03500
A14,A,"11,600,000","12,500,000",0.04000
A15,A,"12,500,000","13,750,000",0.05000
A16,A,"13,750,000","15,100,000",0.06000
A17,A,"15,100,000","16,950,000",0.07000
A18,A,"16,950,000","19,750,000",0.08000
A19,A,"19,750,000","24,150,000",0.09000
A20,A,"24,150,000","26,450,000",0.10000
A21,A,"26,450,000","28,000,000",0.11000
A22,A,"28,000,000","30,050,000",0.12000
A23,A,"30,050,000","32,400,000",0.13000
A24,A,"32,400,000","35,400,000",0.14000
A25,A,"35,400,000","39,100,000",0.15000
A26,A,"39,100,000","43,850,000",0.16000
A27,A,"43,850,000","47,800,000",0.17000
A28,A,"47,800,000","51,400,000",0.18000
A29,A,"51,400,000","56,300,000",0.19000
A30,A,"56,300,000","62,200,000",0.20000
A31,A,"62,200,000","68,600,000",0.21000
A32,A,"68,600,000","77,500,000",0.22000
A33,A,"77,500,000","89,000,000",0.23000
A34,A,"89,000,000","103,000,000",0.24000
A35,A,"103,000,000","125,000,000",0.25000
A36,A,"125,000,000","157,000,000",0.26000
A37,A,"157,000,000","206,000,000",0.27000
A38,A,"206,000,000","337,000,000",0.28000
A39,A,"337,000,000","454,000,000",0.29000
A40,A,"454,000,000","550,000,000",0.30000
A41,A,"550,000,000","695,000,000",0.31000
A42,A,"695,000,000","910,000,000",0.32000
A43,A,"910,000,000","1,400,000,000",0.33000
A44,A,"1,400,000,000","999,999,999,999",0.34000
B1,B,0,"6,200,000",0.00000
B2,B,"6,200,000","6,500,000",0.00250
B3,B,"6,500,000","6,850,000",0.00500
B4,B,"6,850,000","7,300,000",0.00750
B5,B,"7,300,000","9,200,000",0.01000
B6,B,"9,200,000","10,750,000",0.01500
B7,B,"10,750,000","11,250,000",0.02000
